Nome,lavaJato,panamaPapers,odebrecht,acusadosCondenados
CARLOS ALBERTO LEREIA,0,0,0,1
DUDU   RONALSA,0,0,1,0
MAMADIE TOURe,0,1,0,0
TARCISIO   ZIMMERMANN,0,0,1,0
JEFERSON   ANDRADE,0,0,1,0
LUIZ GUSHIKEN,0,0,0,1
FREDERICO   ANTUNES,0,0,1,0
DARCY   VERA,0,0,1,0
TONHA   MAGALHAES,0,0,1,0
CeSAR ALMEYDA,0,1,0,0
ADAO   VILLAVERDE,0,0,1,0
BETO   ALBUQUERQUE,0,0,1,0
SUELY CAMPOS,0,0,0,1
LINO ROSSI,0,0,0,1
PAULO   TEIXEIRA,0,0,1,0
DINHA,0,0,1,0
WAMBERT DI   LORENZO,0,0,1,0
RONALDO   ZULKE,0,0,1,0
KHALIFA BIN ZAYED BIN SULTAN AL NAHYAN,0,1,0,0
EDUARDO GOMES,0,0,0,1
PAULO   MAGALHAES JR.,0,0,1,1
CELSO   RUSSOMANO,0,0,1,1
ANTONIO CARLOS PANNUNZIO,0,0,0,1
ARNALDO   JARDIM,0,0,1,0
ELAINE COSTA,0,0,0,1
JeRoME CAHUZAC,0,1,0,0
HUMBERTO   CARBALLAL,0,0,1,0
MOUNIR MAJIDI,0,1,0,0
AIDAN   RAVIN,0,0,1,0
AGNELO   QUEIROZ,0,0,1,0
MARCIA ROSA,0,0,1,0
ROBERTO JEFFERSON,0,0,0,1
ALBERTO   CASTRO,0,0,1,0
REMI TRINTA,0,0,0,1
BETO   RICHA,0,0,1,0
JULIO CESAR,0,0,0,1
WELLINGTON FAGUNDES,0,0,0,1
JUVENCIO DA FONSECA,0,0,0,1
BJARNI BENEDIKTSSON,0,1,0,0
PAVLO LAZARENKO,0,1,0,0
ROSEANA SARNEY,1,0,1,0
ADEMIR LUCAS,0,0,1,0
ISAIAS SILVESTRE,0,0,0,1
JOSE NOBRE GUIMARAES,0,0,0,1
MANUELA   DAVILA,0,0,1,0
NELSON   PELEGRINO,0,0,1,0
FERNANDO ANTONIO FALCAO SOARES (BAIANO),1,0,0,0
CORONEL   TEATINI,0,0,1,0
JOSE   ANIBAL,0,0,1,0
BRUNO   ARAUJO,0,0,1,0
IAN KIRBY,0,1,0,0
JOSE AFONSO HAMM,1,0,0,0
CRISTIANO   MATHEUS,0,0,1,0
SERGIO   ZAMBIASI,0,0,1,0
JOSE BORBA,0,0,0,1
XI JINPING,0,1,0,0
DANIEL   ALMEIDA,0,0,1,0
SEBASTIAO   ALMEIDA,0,0,1,0
RONALDO   LESSA,0,0,1,0
MARCIO MARQUES   DOS SANTOS,0,0,1,0
JEFFERSON   MORAIS,0,0,1,0
ALDO   REBELO,0,0,1,0
CANDIDATO   VALADARES,0,0,1,0
JOSE CARLOS   ALELUIA,0,0,1,0
GUSTAVO PETRO,0,1,0,0
JOaO LYRA,0,1,0,0
MENDONCA   FILHO,0,0,1,0
DAVID CAMERON,0,1,0,0
OSWALDO   BARBA,0,0,1,0
JIA QINGLIN,0,1,0,0
RENATO   CASAGRANDE,0,0,1,0
WELLINGTON   DIAS,0,0,1,0
JOAO CARLOS   NEDEL,0,0,1,0
MOREIRA FRANCO   ,0,0,1,0
RICARDO   BARROS,0,0,1,1
ANIBAL GOMES,1,0,0,1
JEFERSON CAMPOS,0,0,0,1
ALMEIDA DE JESUS,0,0,0,1
PEDRO   AUGUSTO,0,0,1,0
JOSE   SERRA,0,0,1,0
DILCEU SPERAFICO,1,0,0,1
ASPASIA   CAMARGO,0,0,1,0
SERGIO   ZVEITER,0,0,1,0
CARMEN   GANDARELA,0,0,1,0
EDSON   MOURA,0,0,1,0
VALDEMAR COSTA NETO,0,0,0,1
NAJIB RAZAK,0,1,0,0
JAIME MARTINS,0,0,0,1
SHEIKH HAMAD BIN KHALIFA AL THANI,0,1,0,0
ADALBERTO   SOUZA GALVAO,0,0,1,0
ROBERTO   SANTIAGO,0,0,1,0
ZELINDA NOVAES,0,0,0,1
KALPANA RAWAL,0,1,0,0
CeSAR ROSENTHAL,0,1,0,0
"CABO JULIO (JULIO CESAR GOMES DOS
  SANTOS)",0,0,0,1
JOSe MARIA BOTELHO DE VASCONCELOS,0,1,0,0
ELIAS   GOMES,0,0,1,0
HAFEZ MAKHLOUF,0,1,0,0
CESAR   MAIA,0,0,1,0
HEITOR LUIZ   LERMEN,0,0,1,0
GLEISI HOFFMANN,1,0,1,0
JOHN ADDO KUFUOR,0,1,0,0
KONRAD MIZZI,0,1,0,0
BERNARDO CARLI,0,0,0,1
NEY SUASSUNA,0,0,0,1
FERNANDO GONCALVES,0,0,0,1
ZSOLT HORVaTH,0,1,0,0
JUSSARA   MARCIA,0,0,1,0
JACKSON BARRETO,0,0,0,1
JOAO CALDAS,0,0,0,1
JULIO DAMESA,0,0,1,0
KOJO ANNAN,0,1,0,0
MAURO   POETA,0,0,1,0
MARCONI   PERILLO,0,0,1,0
VANDER LOUBET,1,0,1,0
PAULO BALTAZAR,0,0,0,1
ANTHONY   GAROTINHO,0,0,1,0
LEUR LOMANTO   JR.,0,0,1,0
JOHN AGYEKUM KUFUOR,0,1,0,0
ERICO RIBEIRO,0,0,0,1
DANIEL COELHO,0,0,1,0
LEONEL PAVAN,0,0,0,1
PAULO AFONSO,0,0,0,1
CLOVIS FECURY,0,0,0,1
VALDIR RAUPP,1,0,0,1
GLADSON CAMELI,1,0,0,0
JOAO PAULO   CUNHA,0,0,1,1
INOCENCIO DE OLIVEIRA,0,0,0,1
JAIME ROSENTHAL,0,1,0,0
ANURAG KEJRIWAL,0,1,0,0
NILSON   BONOME,0,0,1,0
EDUARDO   ALENCAR,0,0,1,0
PAULO SALIM MALUF,0,0,0,1
CLEIBER   SANTANA,0,0,1,0
ILHAM ALIYEV,0,1,0,0
JUAN CARLOS I OF SPAIN,0,1,0,0
ZE   GERALDO,0,0,1,1
MARCELO   SERENO,0,0,1,0
ANDRE   CORREA,0,0,1,0
FATIMA   CLEIDE,0,0,1,0
EDIR DE OLIVEIRA,0,0,0,1
HELEN   CABRAL,0,0,1,0
VADAO GOMES,0,0,0,1
GABRIEL   CHALITA,0,0,1,0
PATRICK HENRI DEVILLERS,0,1,0,0
VEREADORES   PSDB-SP,0,0,1,0
PAULO   BARBOSA,0,0,1,0
ROMERO JUCA,1,0,1,1
PAULO ROCHA,0,0,0,1
MARCELLO DELLUTRI,0,1,0,0
MARIO   KERTESZ,0,0,1,0
ALICIA   NEVES,0,0,1,0
JORGE   SAMEK,0,0,1,0
CESAR SOUZA   JUNIOR,0,0,1,0
PAULO CESAR   MELO DE SA,0,0,1,0
EDUARDO CUNHA,1,1,1,0
LEYLA ALIYEVA,0,1,0,0
ViCTOR CRUZ WEFFER,0,1,0,0
JOSE   FORTUNATI,0,0,1,0
PASTOR AMARILDO,0,0,0,1
DENG JIAGUI,0,1,0,0
JOSE MENTOR,1,0,0,1
CLARISSA   GAROTINHO,0,0,1,0
JOAO   ALVES,0,0,1,0
THELMA DE OLIVEIRA,0,0,0,1
MARIO NEGROMONTE,1,0,0,1
PAULO FEIJO,0,0,0,1
RATINHO   JUNIOR,0,0,1,0
GIACOBO (FERNANDO LUCIO GIACOBO),0,0,0,1
ISAAC   CARVALHO,0,0,1,0
